ble_id,mcsp,field,unit,passive_stream,ble_request_result,status,answered_as,sweep_2026_08_12,usb_2026_08_21
8D-1D,0x0D1D,HeadUnit.HEAD_UNIT_FEATURE_PROPERTIES_RELEASE3,,yes,value,,READ_RESPONSE,value,value
8D-1E,0x0D1E,HeadUnit.HEAD_UNIT_FEATURE_PROPERTIES_RELEASE4,,yes,value,,READ_RESPONSE,value,DENIED
8D-1F,0x0D1F,HeadUnit.UNLOCK_TOKENS_NONCE,,yes,value,,READ_RESPONSE,value,DENIED
8D-20,0x0D20,HeadUnit.VIEW_STRIPE_CAPABILITIES,,,value,,READ_RESPONSE,value,DENIED
8D-21,0x0D21,HeadUnit.VIEW_STRIPE_CONFIGURATION_ID,,,supported-empty,,READ_RESPONSE,supported-empty,DENIED
8D-22,0x0D22,HeadUnit.VIEW_STRIPE_CONFIGURATION,,yes,value,,READ_RESPONSE,value,DENIED
8D-23,0x0D23,HeadUnit.FEATURE_STREAMING_TILES_OF_INTEREST,,yes,supported-empty,,READ_RESPONSE,supported-empty,DENIED
8D-24,0x0D24,HeadUnit.FEATURE_STREAMING_TILE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-25,0x0D25,HeadUnit.FEATURE_STREAMING_TILE_PLACEHOLDER,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-26,0x0D26,HeadUnit.FEATURE_STREAMING_OPTION_GROUP,,yes,not-available,UNSUPPORTED,READ_RESPONSE,refused,DENIED
8D-27,0x0D27,HeadUnit.GET_CATEGORY_CONFIGURATION,,yes,not-available,,RPC_RESPONSE,value,DENIED
8D-28,0x0D28,HeadUnit.SET_CATEGORY_CONFIGURATION,,,command (not tested),,,,DENIED
8D-29,0x0D29,HeadUnit.SHOW_VIEW_STRIPE_CONFIGURATION,,,not-available,UNSUPPORTED,READ_RESPONSE,refused,DENIED
8D-2A,0x0D2A,HeadUnit.STORE_VIEW_STRIPE_CONFIGURATION,,,not-available,UNSUPPORTED,READ_RESPONSE,refused,DENIED
8D-2B,0x0D2B,HeadUnit.SET_TILE_CONTENT,,,command (not tested),,,,DENIED
8D-2C,0x0D2C,HeadUnit.FEATURE_STREAMING_CAPABILITIES,,yes,not-available,,RPC_RESPONSE,value,timeout
8D-2D,0x0D2D,HeadUnit.PLAY_SOUND,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,value
8D-2E,0x0D2E,HeadUnit.SOUNDS_VOLUME_LEVEL,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
8D-2F,0x0D2F,HeadUnit.FEATURE_STREAMING_OPTION_STRIPE,,yes,not-available,UNSUPPORTED,READ_RESPONSE,refused,DENIED
8D-40,0x0D40,HeadUnit.BUZZER,,,not-available,DENIED,READ_RESPONSE,refused,error
8D-4A,0x0D4A,HeadUnit.DISPLAY_GENERIC_TEXT,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-80,0x0D80,HeadUnit.DEBUG_AMBIENT_LIGHT_SENSOR,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-81,0x0D81,HeadUnit.DEBUG_TEMPERATURE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-82,0x0D82,HeadUnit.DEBUG_TAKE_SCREENSHOT,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-83,0x0D83,HeadUnit.DEBUG_UI_POSITION,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-84,0x0D84,HeadUnit.HEAD_UNIT_STATIC_FEATURE_PROPERTIES,,yes,value,,READ_RESPONSE,value,DENIED
8D-85,0x0D85,HeadUnit.SUPPORTED_TILE_IDS,,,value,,READ_RESPONSE,value,DENIED
8D-87,0x0D87,HeadUnit.LCD_TEST_MODE,,,not-available,DENIED,READ_RESPONSE,refused,value
8D-88,0x0D88,HeadUnit.TEST_UI_FEATURE_PROPERTIES,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-89,0x0D89,HeadUnit.UNLOCK_COMPONENT,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8D-8A,0x0D8A,HeadUnit.SUPPORTED_TILE_SIZES,,,value,,READ_RESPONSE,value,DENIED
8E-11,0x0E11,BoschDiagnoseApp.DATA_MODEL_VERSION,,,not-available,DENIED,READ_RESPONSE,refused,value
8E-41,0x0E41,BoschDiagnoseApp.SOFTWARE_UPDATE_MANIFESTS,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8E-42,0x0E42,BoschDiagnoseApp.SOFTWARE_UPDATES,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8E-43,0x0E43,BoschDiagnoseApp.CONFIGURATION_CONTAINERS,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8E-44,0x0E44,BoschDiagnoseApp.RESOURCE_METADATA,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8E-45,0x0E45,BoschDiagnoseApp.COLLECTED_DATA_SET_RESOURCE,,,command (not tested),,,,DENIED
8E-46,0x0E46,BoschDiagnoseApp.DEV_LOG_RESOURCE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8E-47,0x0E47,BoschDiagnoseApp.STATISTIC_RESOURCE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8E-48,0x0E48,BoschDiagnoseApp.USER_DATA_RESOURCE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8E-49,0x0E49,BoschDiagnoseApp.TRUSTED_DATA_PACK_RESOURCE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-21,0x1021,DriveUnit.REMOTE_CONTROL_AVAILABLE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-22,0x1022,DriveUnit.BATTERY1_AVAILABLE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-23,0x1023,DriveUnit.BATTERY1_IN_BOOTLOADER_AVAILABLE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-24,0x1024,DriveUnit.HEAD_UNIT_AVAILABLE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-25,0x1025,DriveUnit.HEAD_UNIT_IN_BOOTLOADER_AVAILABLE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-26,0x1026,DriveUnit.CONNECT_MODULE_AVAILABLE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-27,0x1027,DriveUnit.CONNECT_MODULE_IN_BOOTLOADER_AVAILABLE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-28,0x1028,DriveUnit.ANTI_LOCK_BRAKE_SYSTEM_AVAILABLE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-29,0x1029,DriveUnit.ANTI_LOCK_BRAKE_SYSTEM_IN_BOOTLOADER_AVAILABLE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-2A,0x102A,DriveUnit.BATTERY2_AVAILABLE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-2B,0x102B,DriveUnit.BATTERY2_IN_BOOTLOADER_AVAILABLE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-81,0x1081,DriveUnit.EXECUTE_INFORMATION_MANAGER_COMMAND_RIDER,,,command (not tested),,,,DENIED
90-82,0x1082,DriveUnit.EXECUTE_INFORMATION_MANAGER_COMMAND_IBD,,,command (not tested),,,,value
90-83,0x1083,DriveUnit.EXECUTE_INFORMATION_MANAGER_COMMAND_OEM,,,command (not tested),,,,value
90-84,0x1084,DriveUnit.EXECUTE_INFORMATION_MANAGER_COMMAND_SP,,,command (not tested),,,,value
90-85,0x1085,DriveUnit.EXECUTE_INFORMATION_MANAGER_COMMAND_BOSCH,,,command (not tested),,,,value
90-88,0x1088,DriveUnit.REPORT_ISSUE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-89,0x1089,DriveUnit.ISSUE_EVENT,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-8A,0x108A,DriveUnit.ISSUE_VISUALIZATION_EVENT,,,not-available,UNSUPPORTED,READ_RESPONSE,refused,DENIED
90-8B,0x108B,DriveUnit.GET_ASSIST_MODE_INFORMATION,,yes,value (needs ConfigId arg),,RPC_RESPONSE,value,value
90-8C,0x108C,DriveUnit.GET_ASSIST_MODE_STATISTICS,,yes,not-available,,RPC_RESPONSE,value,value
90-8D,0x108D,DriveUnit.RESET_RIDE_STATISTICS,,,command (not tested),,,,value
90-8E,0x108E,DriveUnit.RESET_RANGE_CALCULATION,,,command (not tested),,,,value
90-90,0x1090,DriveUnit.READ_UDAM_VALUES,,yes,value (needs ConfigId arg),,RPC_RESPONSE,value,value
90-91,0x1091,DriveUnit.READ_UDAM_DEFAULT_VALUES,,yes,value (needs ConfigId arg),,RPC_RESPONSE,value,value
90-92,0x1092,DriveUnit.READ_UDAM_LIMITS,,yes,value (needs ConfigId arg),,RPC_RESPONSE,value,value
90-93,0x1093,DriveUnit.SET_UDAM_VALUES_PARAMETERS,,,command (verified working),,,,value
90-94,0x1094,DriveUnit.RESET_UDAM_VALUES,,,command (verified working),,,,value
90-95,0x1095,DriveUnit.ASSIST_MODE_STRENGTH,,,not-available,UNSUPPORTED,READ_RESPONSE,refused,value
90-96,0x1096,DriveUnit.ASSIST_MODE_IS_OEM_ADJUSTABLE,,,not-available,DENIED,READ_RESPONSE,refused,value
90-97,0x1097,DriveUnit.RESET_ALL_UDAM_VALUES,,,command (not tested),,,,value
90-98,0x1098,DriveUnit.RESET_REAR_WHEEL_CIRCUMFERENCE_USER,,,command (not tested),,,,DENIED
90-99,0x1099,DriveUnit.PLAY_SOUND,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-9A,0x109A,DriveUnit.ALL_ISSUE_VISUALIZATION_EVENTS,,yes,value,,READ_RESPONSE,value,DENIED
90-9B,0x109B,DriveUnit.GET_TIME_UNTIL_DERATING,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
90-9C,0x109C,DriveUnit.LIMIT_ASSISTANCE_FOR_POWER_CYCLE,,,not-available,UNSUPPORTED,READ_RESPONSE,refused,DENIED
90-9D,0x109D,DriveUnit.RESET_ACTIVE_ASSIST_MODES_TO_DEFAULT,,,command (not tested),,,,value
90-9E,0x109E,DriveUnit.RESET_GEAR_RATIOS,,,command (not tested),,,,timeout
90-A1,0x10A1,DriveUnit.CURRENT_MOUNTING_ANGLE_AT_STANDSTILL,,,not-available,DENIED,READ_RESPONSE,refused,value
90-A2,0x10A2,DriveUnit.RIM_MAGNET_TEST_TRIGGER,,,command (not tested),,,,value
90-A3,0x10A3,DriveUnit.RESET_RIDER_CONTEXT,,,command (not tested),,,,DENIED
90-A4,0x10A4,DriveUnit.ROTOR_POSITION_CALIBRATION_START,,,command (not tested),,,,UNSUPPORTED
90-A5,0x10A5,DriveUnit.DIAGNOSE_HUB_CABLE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-01,0x1801,DriveUnit.SERIAL_NUMBER,,yes,value,,READ_RESPONSE,value,value
98-02,0x1802,DriveUnit.PART_NUMBER,,yes,value,,READ_RESPONSE,value,value
98-03,0x1803,DriveUnit.PRODUCT_CODE,,yes,value,,READ_RESPONSE,value,value
98-04,0x1804,DriveUnit.HARDWARE_VERSION,,yes,value,,READ_RESPONSE,value,value
98-05,0x1805,DriveUnit.HARDWARE_SOFTWARE_VERSION,,yes,value,,READ_RESPONSE,value,value
98-06,0x1806,DriveUnit.SOFTWARE_VERSION,,yes,value,,READ_RESPONSE,value,value
98-07,0x1807,DriveUnit.BOOTLOADER_SOFTWARE_VERSION,,yes,value,,READ_RESPONSE,value,value
98-08,0x1808,DriveUnit.BIKE_SPEED,,yes,value,,READ_RESPONSE,value,value
98-09,0x1809,DriveUnit.ASSIST_MODE,,yes,supported-empty,,SUBSCRIBE_RESPONSE,supported-empty,value
98-0A,0x180A,DriveUnit.ASSIST_MODE_UP,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-0B,0x180B,DriveUnit.ASSIST_MODE_DOWN,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-0C,0x180C,DriveUnit.ASSIST_MODE_SHORT_NAMES,,yes,value,,READ_RESPONSE,value,value
98-0D,0x180D,DriveUnit.ASSIST_MODE_LONG_NAMES,,yes,value,,READ_RESPONSE,value,value
98-0E,0x180E,DriveUnit.ASSIST_MODE_COLORS,,yes,value,,READ_RESPONSE,value,value
98-0F,0x180F,DriveUnit.AVAILABLE_ASSIST_MODES_UPPER,,yes,value,,READ_RESPONSE,value,value
98-10,0x1810,DriveUnit.DATA_MODEL_VERSION,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-11,0x1811,DriveUnit.DISTRACTED_RIDING_ALERT,,yes,value,,READ_RESPONSE,value,value
98-12,0x1812,DriveUnit.DRIVE_UNIT_FEATURE_PROPERTIES_RELEASE1,,yes,value,,READ_RESPONSE,value,value
98-13,0x1813,DriveUnit.MAXIMUM_LEGAL_BIKE_SPEED,km/h,,value,,READ_RESPONSE,value,value
98-14,0x1814,DriveUnit.RIDER_TORQUE,Nm,yes,supported-empty,,READ_RESPONSE,supported-empty,DENIED
98-15,0x1815,DriveUnit.MOTOR_TORQUE,Nm,yes,supported-empty,,READ_RESPONSE,supported-empty,DENIED
98-16,0x1816,DriveUnit.MAXIMUM_GEAR_RATIO,,,not-available,DENIED,READ_RESPONSE,refused,value
98-17,0x1817,DriveUnit.MAXIMUM_ASSISTANCE_SPEED,km/h,yes,value,,READ_RESPONSE,value,value
98-18,0x1818,DriveUnit.ODOMETER,m,yes,value,,READ_RESPONSE,value,value
98-19,0x1819,DriveUnit.POWER_ON_TIME,s,yes,value,,READ_RESPONSE,value,value
98-1A,0x181A,DriveUnit.BIKE_NOT_DRIVING,,yes,value,,READ_RESPONSE,value,DENIED
98-1B,0x181B,DriveUnit.ALWAYS_SHOW_BIKE_SPEED_IN_DISPLAY,,yes,supported-empty,,READ_RESPONSE,supported-empty,value
98-1C,0x181C,DriveUnit.BIKE_LIGHT,,,supported-empty,,READ_RESPONSE,supported-empty,value
98-1D,0x181D,DriveUnit.ROAD_SLOPE,,yes,value,,READ_RESPONSE,value,value
98-1E,0x181E,DriveUnit.PRESENT_ASSIST_FACTOR,%,,not-available,DENIED,READ_RESPONSE,refused,value
98-1F,0x181F,DriveUnit.BIKE_LIGHT_CONFIGURATION_OEM,,yes,value,,READ_RESPONSE,value,value
98-20,0x1820,DriveUnit.BIKE_LIGHT_AVAILABLE,,yes,supported-empty,,SUBSCRIBE_RESPONSE,supported-empty,value
98-21,0x1821,DriveUnit.BIKE_LIGHT_CONFIGURATION,,,supported-empty,,READ_RESPONSE,supported-empty,value
98-22,0x1822,DriveUnit.BIKE_LIGHT_POWER,,,not-available,DENIED,READ_RESPONSE,refused,value
98-23,0x1823,DriveUnit.START_ASSIST_MODE_CONFIGURATION_OEM,,,command (not tested),,,,value
98-24,0x1824,DriveUnit.START_ASSIST_MODE_CONFIGURATION,,,command (not tested),,,,value
98-25,0x1825,DriveUnit.WALK_ASSIST_CONFIGURATION_OEM,,yes,value,,READ_RESPONSE,value,value
98-26,0x1826,DriveUnit.WALK_ASSIST_CONFIGURATION,,yes,value,,READ_RESPONSE,value,value
98-27,0x1827,DriveUnit.PRODUCT_LINE,,yes,value,,READ_RESPONSE,value,value
98-28,0x1828,DriveUnit.REAR_WHEEL_CIRCUMFERENCE_OEM,mm,yes,value,,READ_RESPONSE,value,value
98-29,0x1829,DriveUnit.REAR_WHEEL_CIRCUMFERENCE_USER,mm,yes,value,,READ_RESPONSE,value,value
98-2A,0x182A,DriveUnit.OEM_BRAND_IDENTIFIER,,yes,value,,READ_RESPONSE,value,value
98-2B,0x182B,DriveUnit.GEARING_SYSTEM,,yes,value,,READ_RESPONSE,value,value
98-2C,0x182C,DriveUnit.BIKE_ID,,yes,value,,READ_RESPONSE,value,value
98-2D,0x182D,DriveUnit.DISPLAYED_BIKE_SPEED,,yes,value,,READ_RESPONSE,value,value
98-2E,0x182E,DriveUnit.PRODUCT_NAME,,yes,value,,READ_RESPONSE,value,value
98-2F,0x182F,DriveUnit.REAR_WHEEL_CIRCUMFERENCE_USER_LIMITS,,yes,value,,READ_RESPONSE,value,value
98-30,0x1830,DriveUnit.OEM_PORT_CONFIGURATION,,,not-available,DENIED,READ_RESPONSE,refused,value
98-31,0x1831,DriveUnit.LOW_POWER_PORT_ACTIVE,,,not-available,DENIED,READ_RESPONSE,refused,value
98-32,0x1832,DriveUnit.HIGH_POWER_PORT_ACTIVE,,,not-available,DENIED,READ_RESPONSE,refused,value
98-33,0x1833,DriveUnit.BATTERY_KEY_LOCK_NUMBER,,,not-available,DENIED,READ_RESPONSE,refused,value
98-34,0x1834,DriveUnit.COMPONENT_LOCKED,,yes,supported-empty,,SUBSCRIBE_RESPONSE,supported-empty,value
98-35,0x1835,DriveUnit.COMPONENT_LOCK_CONFIGURATION,,yes,value,,READ_RESPONSE,value,value
98-36,0x1836,DriveUnit.IS_SAMPLE_SOFTWARE,,,not-available,DENIED,READ_RESPONSE,refused,value
98-37,0x1837,DriveUnit.MANUFACTURING_DATE,,yes,value,,READ_RESPONSE,value,value
98-38,0x1838,DriveUnit.PRODUCT_APPLICATION_REQUIRED,,yes,value,,READ_RESPONSE,value,value
98-39,0x1839,DriveUnit.PRODUCT_APPLICATION_AVAILABLE,,yes,value,,READ_RESPONSE,value,value
98-3A,0x183A,DriveUnit.GEARSHIFT_APPLICATION_REQUIRED,,yes,value,,READ_RESPONSE,value,value
98-3B,0x183B,DriveUnit.GEARSHIFT_APPLICATION_AVAILABLE,,yes,value,,READ_RESPONSE,value,value
98-3C,0x183C,DriveUnit.REGIO_SPEED_APPLICATION_REQUIRED,,yes,value,,READ_RESPONSE,value,value
98-3D,0x183D,DriveUnit.REGIO_SPEED_APPLICATION_AVAILABLE,,yes,value,,READ_RESPONSE,value,value
98-3E,0x183E,DriveUnit.REQUIRED_ASSIST_MODES_UPPER,,yes,supported-empty,,READ_RESPONSE,supported-empty,value
98-3F,0x183F,DriveUnit.ADDING_ASSIST_MODES_LOCKED,,yes,supported-empty,,READ_RESPONSE,supported-empty,value
98-40,0x1840,DriveUnit.OEM_SPEED_SOURCE_CONFIGURATION,,,not-available,DENIED,READ_RESPONSE,refused,value
98-41,0x1841,DriveUnit.SPEED_SOURCE,,,not-available,DENIED,READ_RESPONSE,refused,value
98-42,0x1842,DriveUnit.MAXIMUM_ASSISTANCE_SPEED_IBD,km/h,yes,value,,READ_RESPONSE,value,value
98-43,0x1843,DriveUnit.BIKE_CATEGORY_CONFIGURATION,,,not-available,DENIED,READ_RESPONSE,refused,value
98-44,0x1844,DriveUnit.IN_SOFTWARE_INSTALLATION_STATE,,,command (not tested),,,,value
98-45,0x1845,DriveUnit.SPEED_DISPLAY_TOLERANCE,,,not-available,DENIED,READ_RESPONSE,refused,value
98-46,0x1846,DriveUnit.UDAM_MODIFICATION_POSSIBLE,,yes,value,,READ_RESPONSE,value,value
98-47,0x1847,DriveUnit.LOCK_ACCESS_CERTIFICATE_CHAIN,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-48,0x1848,DriveUnit.CONNECT_MODULE_READY,,yes,supported-empty,,READ_RESPONSE,supported-empty,value
98-49,0x1849,DriveUnit.RANGE_EXTENDER_READY,,yes,supported-empty,,READ_RESPONSE,supported-empty,value
98-4A,0x184A,DriveUnit.TOTAL_RIDING_TIME_WITHOUT_STOPS,s,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-4B,0x184B,DriveUnit.ENTERING_ENERGY_RESERVE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-4C,0x184C,DriveUnit.PRODUCTION_PLANT_CODE,,,not-available,DENIED,READ_RESPONSE,refused,value
98-4D,0x184D,DriveUnit.SPEED_MANIPULATION_STATUS,,,not-available,DENIED,READ_RESPONSE,refused,value
98-4E,0x184E,DriveUnit.ACTIVE_ASSIST_MODES,,yes,value,,READ_RESPONSE,value,value
98-4F,0x184F,DriveUnit.RIDE_STATISTICS,,,not-available,DENIED,READ_RESPONSE,refused,value
98-50,0x1850,DriveUnit.SHIFT_RECOMMENDATION,,,supported-empty,,READ_RESPONSE,supported-empty,DENIED
98-51,0x1851,DriveUnit.TUNING_DETECTION,,yes,supported-empty,,READ_RESPONSE,supported-empty,value
98-52,0x1852,DriveUnit.MOTOR_POWER_CONFIGURATION,,,not-available,DENIED,READ_RESPONSE,refused,value
98-53,0x1853,DriveUnit.MOTOR_CUT_OFF_DISTANCE,,,not-available,DENIED,READ_RESPONSE,refused,value
98-54,0x1854,DriveUnit.FRONT_ANTI_LOCK_BRAKE_SYSTEM_ASSEMBLED,,yes,supported-empty,,READ_RESPONSE,supported-empty,value
98-55,0x1855,DriveUnit.BIKE_CATEGORY,,yes,value,,READ_RESPONSE,value,value
98-56,0x1856,DriveUnit.ENERGY_RESERVE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-57,0x1857,DriveUnit.REACHABLE_RANGE,,yes,value,,READ_RESPONSE,value,DENIED
98-58,0x1858,DriveUnit.SPEED_BIKE_SIGNAL_LAMP_REQUIRED,,,not-available,DENIED,READ_RESPONSE,refused,value
98-5A,0x185A,DriveUnit.RIDER_CADENCE,rpm,yes,supported-empty,,READ_RESPONSE,supported-empty,value
98-5B,0x185B,DriveUnit.RIDER_POWER,W,yes,supported-empty,,SUBSCRIBE_RESPONSE,supported-empty,DENIED
98-5C,0x185C,DriveUnit.MOTOR_CADENCE,rpm,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-5D,0x185D,DriveUnit.MOTOR_POWER,W,yes,supported-empty,,SUBSCRIBE_RESPONSE,supported-empty,DENIED
98-5E,0x185E,DriveUnit.OEM_BIKE_ID,,yes,value,,READ_RESPONSE,value,value
98-5F,0x185F,DriveUnit.OEM_MANUFACTURING_LOCATION,,yes,value,,READ_RESPONSE,value,value
98-60,0x1860,DriveUnit.OEM_MANUFACTURING_LINE,,yes,supported-empty,,READ_RESPONSE,supported-empty,value
98-61,0x1861,DriveUnit.OEM_MANUFACTURING_DATE,,yes,value,,READ_RESPONSE,value,value
98-62,0x1862,DriveUnit.OEM_FREE_TEXT_FIELD,,yes,supported-empty,,READ_RESPONSE,supported-empty,value
98-63,0x1863,DriveUnit.TRIGGER_ALERT,,,command (not tested),,,,DENIED
98-64,0x1864,DriveUnit.BOOTMANAGER_SOFTWARE_VERSION,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-65,0x1865,DriveUnit.BIKE_NOT_MOVING,,yes,value,,READ_RESPONSE,value,DENIED
98-66,0x1866,DriveUnit.COMPONENT_STATE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-67,0x1867,DriveUnit.SPEED_RANGE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-68,0x1868,DriveUnit.AVAILABLE_ASSIST_MODES_LOWER,,,value,,READ_RESPONSE,value,value
98-69,0x1869,DriveUnit.REQUIRED_ASSIST_MODES_LOWER,,yes,value,,READ_RESPONSE,value,value
98-6A,0x186A,DriveUnit.WALK_ASSIST_STATUS,,yes,supported-empty,,SUBSCRIBE_RESPONSE,supported-empty,DENIED
98-6B,0x186B,DriveUnit.WALK_ASSIST_CONTROL,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-6C,0x186C,DriveUnit.OEM_BRAND_NAME,,yes,value,,READ_RESPONSE,value,value
98-6D,0x186D,DriveUnit.POWER_ON_TIME_WITH_MOTOR_SUPPORT,s,yes,value,,READ_RESPONSE,value,value
98-6E,0x186E,DriveUnit.UNLOCK_COMPONENT,,,not-available,UNSUPPORTED,READ_RESPONSE,refused,DENIED
98-6F,0x186F,DriveUnit.SOUND_STATUS,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-70,0x1870,DriveUnit.DRIVE_UNIT_FEATURE_PROPERTIES_RELEASE2,,yes,value,,READ_RESPONSE,value,value
98-71,0x1871,DriveUnit.DRIVE_UNIT_FEATURE_PROPERTIES_RELEASE3,,yes,value,,READ_RESPONSE,value,value
98-72,0x1872,DriveUnit.SMARTPHONE_APP_AVAILABLE_IN_CURRENT_REGION,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-73,0x1873,DriveUnit.NAVIGATION_AVAILABLE_IN_CURRENT_REGION,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-74,0x1874,DriveUnit.MAXIMUM_AVAILABLE_MOTOR_POWER,,yes,value,,READ_RESPONSE,value,value
98-75,0x1875,DriveUnit.OEM_BIKE_MODEL_ID,,yes,value,,READ_RESPONSE,value,value
98-76,0x1876,DriveUnit.AVERAGE_RIDER_CADENCE,,,not-available,DENIED,READ_RESPONSE,refused,value
98-77,0x1877,DriveUnit.MAXIMUM_AVAILABLE_MOTOR_TORQUE,Nm,,not-available,DENIED,READ_RESPONSE,refused,value
98-78,0x1878,DriveUnit.EXTENDED_BIKE_SPEED,,,not-available,DENIED,READ_RESPONSE,refused,value
98-79,0x1879,DriveUnit.EASTER_EGG,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-7A,0x187A,DriveUnit.DRIVE_UNIT_FEATURE_PROPERTIES_RELEASE4,,yes,value,,READ_RESPONSE,value,DENIED
98-7B,0x187B,DriveUnit.OEM_MULTI_PURPOSE_PORT_CONFIGURATION,,,not-available,DENIED,READ_RESPONSE,refused,value
98-7C,0x187C,DriveUnit.MULTI_PURPOSE_PORT_STATUS,,,not-available,DENIED,READ_RESPONSE,refused,value
98-7D,0x187D,DriveUnit.REGIO_SPEED_CONFIGURATION,,yes,value,,READ_RESPONSE,value,value
98-7E,0x187E,DriveUnit.IS_SPEED_PEDELEC,,yes,supported-empty,,READ_RESPONSE,supported-empty,DENIED
98-7F,0x187F,DriveUnit.PROHIBIT_MOTOR_SUPPORT,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-80,0x1880,DriveUnit.DRIVE_UNIT_STATIC_FEATURE_PROPERTIES,,yes,value,,READ_RESPONSE,value,value
98-81,0x1881,DriveUnit.MOTOR_INTERACTION_REQUEST,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-82,0x1882,DriveUnit.DEAD_CENTER_PREDICTION,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-83,0x1883,DriveUnit.MOTOR_SUPPORT_ACTIVE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-84,0x1884,DriveUnit.PRESENT_PCB_TEMPERATURE,°C,,value,,READ_RESPONSE,value,value
98-85,0x1885,DriveUnit.LIMIT_MAXIMUM_MOTOR_POWER,W,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-86,0x1886,DriveUnit.LIMIT_MAXIMUM_MOTOR_TORQUE,Nm,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-87,0x1887,DriveUnit.CONTINUOUS_MOTOR_TORQUE,Nm,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-88,0x1888,DriveUnit.TRICK_DETECTION_STATUS,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-89,0x1889,DriveUnit.MOUNTING_ANGLE,,,not-available,DENIED,READ_RESPONSE,refused,value
98-8A,0x188A,DriveUnit.AUTOMATIC_MODE_AVAILABLE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-8B,0x188B,DriveUnit.ASSIST_MODE_LIMITS,,yes,value,,READ_RESPONSE,value,DENIED
98-8C,0x188C,DriveUnit.MAXIMUM_CONFIGURED_DISCHARGE_CURRENT,A,yes,value,,READ_RESPONSE,value,DENIED
98-8D,0x188D,DriveUnit.REAR_CASSETTE_ANGULAR_SPEED,rpm,,not-available,DENIED,READ_RESPONSE,refused,DENIED
98-8E,0x188E,DriveUnit.WALK_ASSIST_TIP,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
